c,idade,sexo,tempo_como_cliente,frequencia_uso,ligacoes_callcenter,dias_atraso,assinatura,duracao_contrato,total_gasto,meses_ultima_interacao,cancelou
2769950,190,Male,540.0,270,10,160,Standard,Quarterly,68866,140,0
2590250,530,Male,440.0,140,80,300,Basic,Annual,56381,10,0
84170,420,Male,40.0,80,20,180,Basic,Monthly,9700,110,0
1000030,360,Female,470.0,100,100,0,Basic,Quarterly,8470,160,0
277270,270,Female,550.0,50,30,40,Premium,Monthly,7230,200,0
2476410,260,Female,370.0,150,90,160,Basic,Annual,41552,260,0
3252490,450,Male,310.0,70,20,10,Basic,Annual,75242,240,0
1685940,380,Female,310.0,140,10,70,Basic,Quarterly,1370,230,0
3026380,410,Male,150.0,100,20,100,Premium,Quarterly,98335,240,0
2163930,380,Female,190.0,90,50,110,Basic,Monthly,1337,210,0
3238470,330,Female,570.0,180,10,60,Premium,Quarterly,55513,150,0
3697410,450,Male,430.0,80,10,30,Basic,Annual,97513,100,0
2019350,380,Female,50.0,10,40,200,Standard,Monthly,2240,190,0
3286450,470,Male,320.0,60,0,160,Standard,Annual,66787,160,0
2460160,350,Female,380.0,140,100,190,Basic,Quarterly,27523,250,0
267010,180,Female,20.0,20,10,130,Premium,Monthly,2170,190,0
534160,470,Male,460.0,230,60,290,Basic,Annual,9680,30,0
2773480,250,Male,490.0,20,10,100,Premium,Annual,9020,280,0
3908600,390,Male,70.0,240,0,80,Basic,Quarterly,54295,160,0
2403860,440,Female,260.0,230,40,130,Standard,Quarterly,37045,10,0
2908770,370,Female,380.0,230,10,10,Basic,Quarterly,77113,130,0
675530,310,Female,290.0,120,50,80,Standard,Annual,9080,130,0
1887010,630,Female,150.0,60,20,80,Basic,Monthly,3100,120,0
745860,540,Male,320.0,160,50,100,Basic,Monthly,3020,80,0
2206380,210,Male,30.0,80,40,100,Standard,Annual,3858,140,0
3966870,460,Male,570.0,200,20,90,Basic,Annual,73168,150,0
2383180,290,Male,540.0,100,80,100,Standard,Quarterly,93263,100,0
1932930,230,Female,20.0,110,80,200,Premium,Quarterly,1160,40,0
3367780,280,Male,40.0,80,0,20,Standard,Quarterly,9936,120,0
3668550,470,Male,50.0,150,30,10,Standard,Annual,88886,140,0
2551010,480,Female,370.0,150,10,260,Premium,Quarterly,96741,40,0
3026920,240,Male,440.0,30,0,130,Premium,Annual,6478,290,0
1910530,190,Female,520.0,10,100,260,Premium,Monthly,1920,170,0
2163640,440,Male,600.0,10,90,110,Standard,Quarterly,45487,80,0
1778560,520,Male,530.0,180,50,130,Basic,Annual,9220,200,0
3347340,230,Male,250.0,100,0,150,Premium,Quarterly,65773,180,0
4100630,380,Male,490.0,210,10,80,Premium,Quarterly,62335,130,0
4042560,440,Male,80.0,270,20,180,Premium,Annual,8104,10,0
3006340,190,Male,110.0,20,0,110,Standard,Quarterly,92415,270,0
2367620,390,Female,180.0,130,80,10,Standard,Quarterly,78568,80,0
1794080,340,Female,580.0,260,80,110,Standard,Annual,9100,40,0
3226780,480,Male,430.0,240,40,200,Basic,Annual,50354,270,0
1250630,500,Female,540.0,220,10,50,Premium,Monthly,2590,150,0
4322190,320,Female,150.0,200,20,120,Premium,Quarterly,61614,60,0
1132670,300,Male,300.0,100,90,50,Premium,Annual,5390,90,0
2644240,300,Female,250.0,270,30,10,Basic,Quarterly,85361,150,0
3806220,360,Male,300.0,260,30,30,Basic,Annual,76307,300,0
1193500,600,Male,320.0,150,50,150,Standard,Annual,2410,20,0
3819400,420,Male,360.0,120,20,70,Premium,Quarterly,72564,50,0
1097040,340,Male,190.0,130,100,100,Basic,Quarterly,8650,40,0
1972940,260,Male,580.0,60,90,130,Premium,Quarterly,5710,60,0
2283640,390,Female,600.0,210,50,150,Standard,Annual,33186,70,0
1187680,400,Female,160.0,290,0,290,Basic,Monthly,10000,40,0
338570,540,Male,30.0,100,0,240,Premium,Monthly,5620,110,0
2431150,350,Male,540.0,270,60,50,Premium,Monthly,44056,230,0
644020,320,Female,550.0,230,80,100,Premium,Annual,9030,300,0
1854080,580,Male,350.0,140,100,220,Standard,Quarterly,6860,150,0
2495640,530,Male,60.0,130,30,30,Standard,Monthly,74024,250,0
4270140,200,Female,270.0,250,0,150,Standard,Annual,5894,70,0
514740,520,Female,240.0,270,20,0,Basic,Monthly,2440,210,0
3193110,330,Male,30.0,110,10,20,Standard,Annual,5301,150,0
979140,270,Male,460.0,160,0,250,Premium,Quarterly,6550,260,0
3787520,270,Female,70.0,40,20,160,Basic,Quarterly,80735,100,0
989540,290,Male,170.0,280,50,50,Basic,Quarterly,3770,220,0
1303500,520,Male,260.0,210,100,300,Basic,Quarterly,1030,120,0
561940,600,Male,270.0,80,0,280,Premium,Monthly,3710,100,0
3065110,330,Female,370.0,280,10,40,Premium,Annual,5041,120,0
3394300,320,Male,370.0,260,10,40,Basic,Annual,77005,160,0
2120370,350,Female,470.0,150,70,90,Basic,Monthly,49563,70,0
2718320,200,Male,490.0,160,20,160,Standard,Quarterly,54267,190,0
147590,500,Female,580.0,80,80,300,Premium,Monthly,2440,260,0
2097680,570,Male,170.0,110,0,60,Basic,Monthly,83107,210,0
2134010,500,Female,460.0,300,100,0,Basic,Quarterly,89267,210,0
3594070,180,Female,390.0,120,0,140,Basic,Annual,59494,60,0
3006140,470,Male,480.0,240,10,40,Basic,Annual,68818,190,0
54260,450,Female,490.0,100,50,50,Premium,Annual,4480,280,0
4043750,500,Male,510.0,280,10,30,Standard,Annual,67034,240,0
2035650,620,Male,180.0,270,20,70,Standard,Annual,4580,260,0
2529600,500,Female,450.0,270,80,60,Premium,Monthly,67649,260,0
1317260,450,Female,80.0,80,70,230,Basic,Annual,8230,80,0
3976550,200,Male,600.0,10,20,120,Premium,Annual,8155,190,0
3886690,350,Male,570.0,220,0,0,Standard,Quarterly,7556,280,0
132300,250,Female,300.0,170,10,120,Basic,Annual,1500,250,0
4419840,240,Female,160.0,250,0,20,Premium,Quarterly,59434,110,0
2488650,240,Male,160.0,300,20,180,Premium,Monthly,23919,20,0
638850,490,Male,340.0,80,80,20,Premium,Monthly,6660,200,0
2278890,620,Female,180.0,280,60,120,Basic,Monthly,38969,200,0
919120,250,Male,200.0,220,50,210,Basic,Monthly,5190,150,0
1249290,630,Male,210.0,190,80,60,Standard,Annual,8660,90,0
4103050,450,Male,310.0,240,10,90,Premium,Quarterly,89943,20,0
3336820,250,Male,320.0,180,10,150,Standard,Quarterly,8344,270,0
1022790,350,Female,280.0,230,50,130,Basic,Annual,3340,290,0
3869130,180,Male,300.0,20,10,140,Basic,Quarterly,73646,90,0
364000,190,Female,480.0,170,10,230,Premium,Monthly,7560,100,0
255770,280,Male,600.0,150,20,230,Premium,Monthly,2930,130,0
3978300,440,Male,60.0,110,30,100,Standard,Quarterly,92029,150,0
4121430,480,Male,420.0,180,0,60,Standard,Annual,84041,30,0
799550,530,Female,150.0,240,10,190,Standard,Annual,4160,230,0
2567620,440,Male,560.0,180,90,80,Standard,Quarterly,78024,50,0
4003270,490,Male,50.0,60,20,60,Premium,Quarterly,62147,140,0
2970120,480,Male,240.0,270,10,0,Standard,Annual,57183,200,0
49650,250,Female,350.0,300,10,110,Standard,Monthly,8010,280,0
163980,480,Male,270.0,220,70,120,Basic,Annual,9470,40,0
4008320,210,Male,150.0,300,20,200,Standard,Quarterly,6803,220,0
1289480,630,Female,10.0,170,40,20,Standard,Quarterly,8320,20,0
1636850,360,Male,160.0,290,90,130,Basic,Annual,3780,110,0
1475610,210,Male,140.0,300,70,210,Premium,Annual,8210,260,0
971790,300,Male,90.0,80,30,130,Premium,Annual,1370,220,0
871130,190,Male,380.0,10,10,70,Basic,Annual,2920,100,0
1697430,590,Female,500.0,20,50,240,Basic,Monthly,6710,150,0
2448770,550,Male,550.0,220,80,20,Premium,Quarterly,79782,80,0
1921940,500,Female,300.0,130,50,300,Standard,Quarterly,6120,160,0
4007900,320,Female,580.0,150,30,40,Premium,Annual,57337,10,0
792290,610,Male,140.0,300,20,140,Standard,Quarterly,2340,190,0
1341930,240,Female,460.0,130,70,110,Premium,Annual,3140,280,0
981990,460,Female,110.0,60,60,220,Standard,Annual,7610,180,0
3635700,380,Female,210.0,260,30,90,Premium,Quarterly,74385,150,0
2010990,640,Male,380.0,240,50,200,Standard,Annual,1660,290,0
1849450,640,Female,40.0,50,80,250,Premium,Monthly,2900,70,0
2935420,470,Male,510.0,160,0,200,Standard,Quarterly,78631,210,0
2257720,340,Male,140.0,180,50,130,Basic,Annual,81289,160,0
1330470,340,Male,470.0,210,50,170,Premium,Quarterly,3240,290,0
1480790,590,Male,480.0,250,50,30,Premium,Quarterly,5500,90,0
2734630,350,Male,350.0,160,20,130,Standard,Quarterly,98681,90,0
258960,430,Female,400.0,170,0,210,Basic,Quarterly,1460,300,0
4377090,400,Male,500.0,300,0,170,Standard,Quarterly,50831,150,0
2030400,190,Male,50.0,140,0,40,Standard,Annual,4520,170,0
1840320,350,Female,310.0,290,20,120,Basic,Quarterly,5780,260,0
2481820,240,Female,210.0,160,80,210,Standard,Quarterly,87101,260,0
2969760,200,Male,210.0,140,20,70,Premium,Quarterly,74423,140,0
1726350,420,Male,370.0,80,30,200,Standard,Annual,5060,130,0
2369960,440,Male,330.0,170,20,150,Premium,Quarterly,41631,260,0
2295990,580,Male,600.0,150,80,30,Standard,Annual,48355,140,0
1438340,560,Female,280.0,130,0,220,Standard,Quarterly,8550,110,0
3152760,490,Female,140.0,120,40,30,Basic,Annual,65286,110,0
1868110,300,Female,240.0,100,80,40,Premium,Quarterly,2130,260,0
1730820,640,Female,150.0,20,100,140,Premium,Monthly,1600,50,0
1350500,610,Male,600.0,70,20,150,Basic,Monthly,2940,290,0
2606010,270,Male,340.0,150,10,170,Premium,Monthly,91718,180,0
607430,310,Male,110.0,140,80,110,Premium,Quarterly,5680,110,0
1217380,460,Female,140.0,110,60,270,Basic,Monthly,5780,240,0
527250,300,Male,420.0,90,40,210,Standard,Monthly,7480,190,0
2634390,200,Male,490.0,100,0,200,Standard,Annual,81108,50,0
2946980,400,Female,150.0,190,0,20,Basic,Annual,83652,120,0
2030650,550,Female,530.0,120,50,90,Premium,Monthly,8480,50,0
3042750,400,Male,310.0,240,20,120,Standard,Quarterly,50624,180,0
137660,240,Male,100.0,90,0,300,Standard,Monthly,2060,250,0
1005020,620,Female,400.0,90,40,120,Premium,Quarterly,4810,40,0
2850910,450,Male,430.0,200,10,50,Basic,Quarterly,62622,30,0
649670,330,Female,450.0,160,70,90,Basic,Quarterly,9500,190,0
3093110,450,Male,510.0,220,10,190,Basic,Annual,99666,20,0
1754430,240,Female,500.0,80,70,230,Standard,Quarterly,7170,120,0
3553600,230,Female,180.0,100,0,130,Standard,Annual,97231,60,0
979650,190,Male,230.0,130,20,210,Standard,Monthly,8590,110,0
2280770,400,Male,530.0,270,90,180,Premium,Quarterly,57865,80,0
1848580,470,Female,160.0,30,90,100,Premium,Monthly,5980,60,0
3507190,430,Male,210.0,270,30,60,Standard,Quarterly,73519,140,0
1226890,340,Male,430.0,250,60,180,Basic,Quarterly,6390,30,0
3875630,200,Female,220.0,180,10,0,Premium,Annual,75859,10,0
1252190,490,Female,510.0,140,100,80,Premium,Quarterly,2420,210,0
2581890,320,Female,170.0,100,0,150,Premium,Monthly,35657,30,0
1060000,390,Female,70.0,190,80,30,Standard,Monthly,6520,100,0
3893010,340,Male,420.0,110,10,70,Basic,Annual,83426,80,0
3735960,340,Male,170.0,240,20,70,Standard,Quarterly,8965,270,0
4057250,360,Female,560.0,30,20,120,Standard,Annual,97547,50,0
1028080,470,Male,220.0,20,20,120,Premium,Quarterly,7610,140,0
2990680,410,Male,10.0,140,0,40,Standard,Quarterly,58103,210,0
2470090,590,Male,520.0,300,20,150,Standard,Annual,16662,220,0
441910,390,Male,220.0,280,10,30,Basic,Quarterly,4870,110,0
4366790,230,Male,50.0,90,0,70,Premium,Quarterly,6371,180,0
773880,530,Female,370.0,220,20,290,Standard,Quarterly,8360,40,0
1810080,450,Male,270.0,10,30,300,Premium,Annual,1720,210,0
618340,330,Male,310.0,30,90,100,Standard,Monthly,1640,230,0
1064100,550,Male,80.0,190,100,200,Basic,Annual,1340,80,0
2163730,630,Male,230.0,200,70,210,Premium,Monthly,75592,210,0
863270,330,Male,180.0,130,0,240,Standard,Quarterly,4460,150,0
3481740,300,Female,100.0,240,0,150,Basic,Quarterly,90426,130,0
2613050,390,Female,470.0,80,0,160,Premium,Annual,80921,30,0
4301720,410,Male,170.0,110,10,140,Basic,Quarterly,52961,100,0
1811850,350,Male,600.0,130,30,70,Basic,Monthly,6600,80,0
500950,510,Female,410.0,280,0,20,Basic,Annual,5530,250,0
1948480,310,Female,20.0,280,10,170,Premium,Quarterly,8680,270,0
3959620,420,Male,280.0,50,30,190,Standard,Quarterly,70497,290,0
4310150,260,Male,350.0,20,10,150,Standard,Annual,58021,220,0
3897040,360,Female,80.0,260,0,80,Basic,Quarterly,62658,50,0
3622190,190,Male,570.0,300,0,140,Basic,Annual,70755,250,0
1856250,500,Female,180.0,90,80,0,Premium,Monthly,4110,160,0
3978310,470,Female,500.0,130,20,170,Basic,Annual,51972,90,0
1123550,360,Female,430.0,20,40,0,Premium,Monthly,6110,70,0
2398720,460,Male,570.0,120,80,100,Premium,Monthly,7062,120,0
2802230,300,Female,400.0,180,30,200,Premium,Quarterly,91943,40,0
1170980,180,Male,160.0,270,0,280,Basic,Quarterly,5080,40,0
2133310,370,Female,450.0,130,60,260,Standard,Monthly,72434,150,0
2041890,300,Female,490.0,120,20,70,Standard,Monthly,28022,60,0
4056040,440,Female,430.0,30,30,130,Premium,Quarterly,80234,50,0
1033170,600,Male,210.0,130,70,90,Standard,Quarterly,3490,270,0
3562880,420,Male,90.0,50,40,100,Premium,Quarterly,61352,250,0
3094970,400,Female,400.0,50,10,50,Premium,Quarterly,68587,10,0
3317280,320,Male,210.0,270,20,50,Standard,Annual,7655,290,0
321860,480,Female,250.0,210,60,120,Standard,Monthly,6450,80,0
1908730,560,Female,80.0,250,90,10,Premium,Quarterly,5990,40,0
703260,260,Female,470.0,130,10,250,Standard,Annual,1120,220,0
881060,340,Male,190.0,50,80,190,Basic,Quarterly,4140,270,0
753470,590,Female,490.0,60,60,100,Basic,Monthly,9660,190,0
1652820,640,Female,180.0,160,10,80,Basic,Quarterly,3370,160,0
4085120,340,Male,100.0,90,0,190,Standard,Annual,87822,140,0
1740150,630,Female,70.0,240,90,180,Premium,Annual,8530,80,0
3151960,480,Male,170.0,160,0,60,Standard,Quarterly,83525,180,0
3795180,470,Male,580.0,90,10,10,Standard,Annual,87613,80,0
1892820,320,Female,500.0,150,70,230,Standard,Annual,6200,110,0
1134570,600,Male,270.0,270,40,170,Basic,Monthly,2470,40,0
3312860,350,Male,540.0,20,10,170,Premium,Quarterly,77815,270,0
252440,480,Male,40.0,90,20,190,Premium,Monthly,3010,60,0
2725960,430,Male,60.0,50,40,110,Basic,Quarterly,67453,60,0
2114770,630,Male,150.0,180,100,270,Standard,Annual,17961,90,0
3156050,440,Female,100.0,230,20,130,Standard,Quarterly,57392,120,0
1552080,650,Female,130.0,50,100,150,Premium,Quarterly,9710,130,0
1090710,320,Male,490.0,160,0,230,Premium,Monthly,7660,140,0
3116850,380,Female,550.0,150,20,130,Basic,Annual,56474,10,0
1834290,230,Male,240.0,160,60,70,Standard,Monthly,5780,40,0
3231120,420,Male,160.0,230,20,40,Premium,Quarterly,54559,160,0
998260,420,Male,190.0,260,90,120,Standard,Monthly,5370,190,0
2777560,500,Male,380.0,150,50,180,Premium,Quarterly,71414,230,0
1715530,530,Female,540.0,240,70,180,Basic,Annual,7240,190,0
4459980,400,Female,590.0,180,0,160,Basic,Annual,85447,30,0
2687810,410,Male,390.0,60,10,20,Standard,Annual,8483,80,0
1792660,250,Male,520.0,300,100,40,Premium,Monthly,5860,240,0
64870,550,Female,10.0,210,70,250,Standard,Annual,6080,250,0
1619240,430,Male,520.0,150,10,160,Premium,Quarterly,2160,300,0
298550,400,Male,60.0,110,80,110,Standard,Annual,1760,20,0
346470,570,Female,100.0,260,80,90,Basic,Monthly,6450,200,0
3175790,460,Male,40.0,90,10,100,Premium,Annual,77319,220,0
518030,450,Female,310.0,180,0,230,Basic,Quarterly,2450,30,0
1311110,480,Male,60.0,180,80,120,Premium,Monthly,6100,40,0
887240,320,Female,180.0,160,50,290,Standard,Quarterly,4660,170,0
2711550,490,Male,440.0,190,40,110,Standard,Quarterly,87085,280,0
4364340,400,Female,340.0,290,0,90,Standard,Quarterly,73078,30,0
2305580,330,Female,580.0,150,90,40,Basic,Monthly,84919,240,0
2881140,500,Male,180.0,160,30,20,Standard,Annual,99088,220,0
545720,380,Female,270.0,250,80,20,Standard,Quarterly,6780,10,0
3441670,330,Female,100.0,250,10,0,Basic,Annual,96139,90,0
234480,200,Male,130.0,170,70,60,Standard,Monthly,5400,140,0
327100,640,Male,230.0,290,40,60,Basic,Monthly,5080,10,0
2933470,230,Male,470.0,270,20,110,Premium,Quarterly,81682,110,0
2717890,460,Male,20.0,10,10,10,Standard,Annual,58057,20,0
1226900,250,Male,90.0,30,50,170,Standard,Monthly,5630,90,0
1899430,360,Male,80.0,140,20,200,Standard,Monthly,3330,210,0
2973010,260,Male,80.0,200,10,110,Premium,Annual,83296,240,0
499990,520,Male,370.0,260,40,0,Standard,Quarterly,4170,230,0
288310,440,Female,550.0,150,30,220,Standard,Quarterly,8170,70,0
2566930,430,Male,210.0,10,90,240,Premium,Monthly,83589,250,0
325840,250,Female,50.0,20,10,210,Premium,Quarterly,2850,140,0
2207470,490,Male,410.0,170,60,110,Premium,Monthly,67023,10,0
1526180,360,Female,240.0,230,40,30,Standard,Monthly,1050,250,0
794300,430,Male,430.0,290,60,290,Premium,Monthly,7000,210,0
3569190,330,Male,250.0,210,30,200,Premium,Annual,65023,80,0
1214390,420,Female,190.0,90,10,170,Basic,Monthly,8700,170,0
2608390,250,Male,510.0,30,10,180,Premium,Annual,56857,200,0
3127800,450,Female,270.0,110,30,20,Standard,Quarterly,83349,30,0
3467940,300,Male,590.0,190,10,100,Basic,Quarterly,79614,100,0
381640,220,Female,560.0,220,10,60,Basic,Quarterly,3140,170,0
1767890,290,Female,460.0,180,80,70,Basic,Annual,4780,280,0
1482840,510,Female,560.0,170,0,70,Premium,Annual,6430,270,0
4382690,480,Female,400.0,300,10,140,Basic,Annual,9580,20,0
2410140,270,Male,540.0,280,60,250,Standard,Quarterly,4230,110,0
536270,270,Female,380.0,300,60,100,Standard,Annual,8410,170,0
3269890,370,Male,560.0,250,0,70,Premium,Annual,81644,80,0
2845400,430,Male,170.0,280,40,140,Premium,Quarterly,97755,170,0
1960870,200,Female,520.0,30,90,50,Basic,Monthly,6830,30,0
4206770,500,Female,360.0,20,20,100,Basic,Annual,6804,30,0
3511750,360,Male,70.0,190,0,120,Basic,Annual,71049,20,0
3063340,280,Male,570.0,140,20,170,Basic,Annual,73626,100,0
3946020,360,Female,450.0,30,0,60,Standard,Quarterly,77928,60,0
3050600,480,Male,510.0,290,10,140,Basic,Annual,77525,300,0
2514990,380,Male,270.0,20,40,80,Premium,Quarterly,12302,290,0
4188640,190,Male,440.0,200,0,120,Standard,Annual,58661,180,0
1360760,550,Male,170.0,80,80,80,Premium,Quarterly,4470,170,0
4311980,350,Female,440.0,240,10,180,Standard,Quarterly,93067,150,0
3074690,230,Male,290.0,70,20,70,Basic,Quarterly,66447,180,0
1390950,270,Female,240.0,90,40,110,Basic,Monthly,3350,110,0
3541200,490,Female,460.0,220,30,30,Standard,Annual,9912,140,0
1119530,220,Female,160.0,170,30,170,Standard,Quarterly,9410,250,0
584910,560,Male,190.0,150,70,20,Standard,Annual,2910,280,0
1482660,310,Female,330.0,120,90,20,Premium,Annual,1360,170,0
1424820,650,Female,480.0,210,20,270,Standard,Monthly,6380,50,0
1412590,640,Female,560.0,240,90,220,Basic,Annual,5630,20,0
2752350,490,Female,490.0,140,30,120,Premium,Quarterly,86803,50,0
3666520,200,Female,340.0,300,20,50,Premium,Annual,68845,70,0
786600,380,Female,150.0,70,60,110,Standard,Monthly,8840,190,0
2717560,240,Male,300.0,230,20,140,Standard,Annual,52692,200,0
4317830,360,Female,430.0,180,30,60,Standard,Quarterly,61093,10,0
1528150,220,Male,310.0,220,50,190,Standard,Monthly,2440,120,0
1437940,580,Male,110.0,120,80,30,Basic,Quarterly,5980,50,0
1853460,470,Female,330.0,40,0,110,Basic,Quarterly,6050,180,0
1776890,320,Female,420.0,150,20,140,Premium,Monthly,8970,40,0
4237930,480,Male,100.0,240,30,110,Basic,Quarterly,75786,290,0
455980,280,Female,380.0,170,30,40,Basic,Monthly,9070,230,0
4174520,470,Male,30.0,80,40,20,Premium,Annual,50763,200,0
2369400,220,Male,240.0,230,40,120,Premium,Monthly,48363,40,0
4204540,310,Male,420.0,130,10,110,Standard,Annual,57298,250,0
1798960,320,Male,570.0,140,40,260,Premium,Monthly,3730,60,0
19120,580,Female,560.0,240,90,20,Premium,Monthly,5560,110,0
3211940,490,Female,300.0,30,0,40,Premium,Annual,61148,140,0
1938500,220,Male,180.0,70,60,60,Basic,Quarterly,5690,170,0
2987540,330,Male,20.0,290,10,70,Standard,Quarterly,69025,260,0
3241140,450,Male,280.0,100,30,150,Basic,Quarterly,70151,110,0
3937250,500,Male,370.0,240,10,30,Premium,Annual,62752,190,0
1712850,420,Female,460.0,160,70,240,Premium,Quarterly,1010,60,0
3984410,330,Female,450.0,150,0,100,Standard,Quarterly,97963,130,0
1265470,620,Male,580.0,160,60,100,Basic,Monthly,1340,140,0
790950,340,Female,130.0,80,10,150,Standard,Quarterly,5000,220,0
920340,440,Male,310.0,130,10,90,Premium,Monthly,9950,290,0
2073240,540,Female,420.0,10,20,70,Premium,Quarterly,58638,70,0
2547580,310,Male,10.0,50,90,10,Premium,Quarterly,63709,190,0
814450,330,Female,370.0,150,90,140,Basic,Quarterly,7170,270,0
1313730,290,Female,390.0,10,60,160,Premium,Annual,8260,290,0
1878030,430,Female,420.0,160,10,90,Standard,Annual,9030,220,0
2777000,200,Female,410.0,250,10,70,Standard,Quarterly,89727,100,0
579150,300,Female,420.0,20,40,230,Premium,Quarterly,9490,250,0
1925210,240,Male,230.0,30,70,180,Standard,Annual,6820,200,0
3462590,220,Male,320.0,220,10,20,Standard,Quarterly,62584,70,0
2207750,350,Female,300.0,190,80,10,Standard,Monthly,61305,300,0
1733220,370,Female,140.0,110,60,90,Standard,Annual,9050,260,0
355040,570,Female,210.0,180,10,70,Standard,Quarterly,5720,150,0
2492860,640,Female,400.0,300,90,300,Premium,Quarterly,84289,50,0
3726660,370,Female,150.0,230,20,10,Basic,Annual,60785,20,0
2846560,500,Male,470.0,10,0,180,Standard,Annual,52522,290,0
683860,320,Female,560.0,10,30,120,Premium,Monthly,3800,70,0
3310580,270,Male,200.0,180,0,200,Premium,Annual,82772,140,0
5770,250,Male,470.0,250,40,10,Standard,Monthly,4620,30,0
3492720,310,Female,540.0,150,20,0,Basic,Annual,76746,30,0
3463760,280,Female,390.0,170,0,60,Basic,Quarterly,71447,40,0
351410,380,Female,270.0,270,60,160,Premium,Monthly,2200,110,0
4158700,200,Female,490.0,50,20,10,Basic,Annual,96432,90,0
3779800,200,Female,290.0,190,0,60,Standard,Quarterly,74447,130,0
1535960,240,Female,200.0,40,40,180,Premium,Quarterly,5420,300,0
3776910,480,Female,320.0,290,40,160,Basic,Annual,92069,120,0
3607470,480,Male,280.0,140,0,140,Premium,Quarterly,56745,180,0
4028480,210,Male,560.0,60,20,160,Standard,Quarterly,8928,150,0
3409340,420,Male,460.0,150,30,180,Basic,Quarterly,69079,160,0
1736830,210,Male,130.0,290,10,80,Standard,Monthly,2800,80,0
1580550,440,Male,220.0,260,30,140,Standard,Quarterly,9690,100,0
2901940,320,Male,160.0,150,20,110,Basic,Quarterly,57503,210,0
1387060,650,Female,110.0,180,100,60,Standard,Monthly,5880,110,0
3514020,440,Male,320.0,90,0,30,Basic,Annual,90787,130,0
662300,420,Male,220.0,130,40,230,Basic,Monthly,8940,230,0
552260,210,Male,200.0,10,60,70,Standard,Annual,6650,120,0
11800,490,Male,250.0,50,80,40,Standard,Quarterly,2930,70,0
3630390,490,Female,450.0,10,20,190,Basic,Annual,58453,70,0
2441070,560,Female,110.0,220,100,30,Standard,Monthly,44533,20,0
87720,600,Male,500.0,110,100,260,Premium,Quarterly,8060,280,0
1487350,380,Female,600.0,170,10,290,Standard,Quarterly,7900,130,0
4064470,450,Female,330.0,270,20,90,Premium,Quarterly,60003,130,0
2651480,370,Male,100.0,70,20,20,Standard,Quarterly,82817,120,0
700390,460,Female,100.0,200,80,110,Basic,Quarterly,2230,300,0
1081060,580,Female,410.0,200,70,120,Standard,Quarterly,5080,190,0
240360,640,Male,110.0,100,60,200,Premium,Quarterly,1030,70,0
3342600,250,Male,480.0,270,0,100,Standard,Annual,58516,120,0
2134150,500,Female,520.0,220,10,200,Premium,Monthly,68301,200,0
1822700,580,Female,600.0,20,100,130,Premium,Quarterly,7600,100,0
2203330,540,Female,480.0,30,50,160,Standard,Monthly,60806,300,0
2388410,390,Female,140.0,20,40,10,Basic,Monthly,3563,140,0
4108090,450,Female,330.0,30,0,170,Basic,Quarterly,92759,90,0
3479890,420,Male,510.0,70,0,130,Premium,Quarterly,95369,80,0
3137550,400,Male,270.0,220,40,170,Basic,Annual,52657,140,0
953580,390,Female,180.0,290,50,0,Standard,Quarterly,4790,200,0
2727660,480,Male,340.0,190,0,120,Standard,Annual,64865,250,0
529260,650,Female,290.0,120,0,80,Standard,Monthly,1170,260,0
4252470,330,Male,300.0,170,10,190,Premium,Quarterly,93358,70,0
562520,430,Male,480.0,80,80,30,Premium,Annual,6380,20,0
1650520,440,Male,310.0,70,10,270,Basic,Quarterly,8640,90,0
1491880,510,Male,260.0,60,50,30,Standard,Quarterly,4150,160,0
354630,450,Female,200.0,70,60,100,Standard,Monthly,2120,240,0
2526090,590,Female,430.0,80,10,130,Standard,Quarterly,70237,10,0
1847630,360,Male,570.0,260,20,50,Premium,Monthly,1540,280,0
3997670,210,Male,120.0,230,20,120,Standard,Annual,65072,150,0
892040,190,Female,380.0,30,60,200,Basic,Monthly,2700,50,0
2438120,580,Female,90.0,120,20,60,Basic,Quarterly,66892,150,0
4234170,430,Female,590.0,160,30,190,Basic,Annual,53908,140,0
1768750,430,Female,240.0,260,50,220,Basic,Quarterly,7240,100,0
3384690,250,Male,350.0,90,0,200,Premium,Annual,98697,210,0
2960360,400,Female,100.0,10,10,70,Standard,Quarterly,6718,30,0
3020770,480,Male,260.0,150,40,70,Premium,Annual,75469,200,0
4465720,450,Male,130.0,140,20,20,Premium,Quarterly,61717,140,0
4267910,270,Female,350.0,60,10,90,Premium,Annual,86724,60,0
219900,610,Male,530.0,290,50,160,Basic,Monthly,7350,70,0
3658580,230,Male,140.0,150,20,140,Standard,Quarterly,63659,70,0
1849130,500,Female,310.0,230,30,280,Standard,Quarterly,2410,160,0
1854900,620,Male,260.0,290,90,180,Standard,Annual,8590,180,0
3778750,500,Female,480.0,290,40,200,Premium,Annual,61777,60,0
2696420,280,Female,90.0,20,20,150,Basic,Annual,76838,40,0
3018800,440,Male,410.0,190,30,80,Basic,Annual,57152,120,0
2032820,400,Male,110.0,260,70,30,Premium,Quarterly,1050,270,0
3375410,300,Female,80.0,40,10,30,Premium,Quarterly,69187,90,0
606430,260,Male,440.0,230,80,280,Premium,Annual,8870,260,0
3830130,490,Male,470.0,140,40,80,Premium,Annual,81508,70,0
2544080,520,Male,280.0,30,100,230,Premium,Quarterly,98769,150,0
2377900,600,Female,320.0,40,40,280,Premium,Quarterly,88209,80,0
977980,640,Female,340.0,140,40,130,Basic,Quarterly,3140,180,0
